kepid,koi_steff,koi_srad,ra,dec,koi_kepmag,koi_time0bk,koi_impact,koi_prad,koi_period,koi_duration,koi_disposition
10026457,5382.0,0.669,297.25931,46.989681,15.39,132.874989,1.117,34.03,9.93442075,7.8219,FALSE POSITIVE
10031526,5602.0,0.817,298.72095,46.933891,15.687,132.0467,0.791,1.21,8.5893644,6.975,FALSE POSITIVE
10031808,6331.0,2.194,298.79758,46.930244,9.557,132.0206787,0.686,140.07,8.589644815,9.49469,FALSE POSITIVE
10070479,4744.0,0.725,289.96161,47.08036,15.59,131.7968,0.035,1.6,1.758599866,0.2729,CANDIDATE
11134079,5388.0,0.715,290.01401,48.701832,14.864,132.0569049,0.58,29.91,1.260575815,2.36064,CANDIDATE
11137061,5413.0,0.754,291.61365,48.749451,14.606,132.953,0.477,0.59,1.88912273,4.219,CANDIDATE
11144439,5595.0,0.796,295.0618,48.798168,15.64,132.08281,0.242,0.96,0.609125246,0.655,FALSE POSITIVE
7119481,6122.0,0.964,292.31601,42.626251,14.718,135.5991,0.138,1.1,14.1573717,3.786,CANDIDATE
11147276,5883.0,0.905,296.14212,48.702141,13.984,132.537255,1.033,49.66,1.566528935,3.2593,FALSE POSITIVE
2852941,,,291.54343,38.048759,13.458,135.5195336,,,11.57958162,2.47,FALSE POSITIVE
8773015,6254.0,1.706,298.20261,44.925831,13.096,134.14866,0.575,1.04,6.31915999,3.465,CANDIDATE
9883606,6164.0,1.09,288.46909,46.78368,13.874,131.80729,0.229,0.77,2.58393841,2.169,CANDIDATE
9597729,6032.0,0.929,295.54755,46.287682,14.84,131.95622,1.207,22.24,0.87630504,1.11,FALSE POSITIVE
9836563,5950.0,1.196,294.12488,46.67289,12.788,132.0079,0.378,0.62,6.5595368,4.324,CANDIDATE
6508221,5183.0,0.739,286.86548,41.989079,14.29,160.3251,0.0671,0.74,31.5322987,3.49,CANDIDATE
3830820,3849.0,0.546,284.62024,38.969501,15.368,135.112903,0.759,14.0,15.582794732,3.76683,FALSE POSITIVE
3831523,6438.0,2.266,284.89017,38.991505,11.268,131.4176092,0.981,2.26,1.529283907,14.0075,CANDIDATE
3834364,5631.0,0.764,286.0722,38.972229,14.661,132.315694,1.113,40.85,2.908454772,2.6005,FALSE POSITIVE
3836413,5780.0,1.0,286.94046,38.923927,13.76,131.996172,1.093,48.81,1.540396094,2.8044,FALSE POSITIVE
3836439,7394.0,2.283,286.94843,38.928219,7.57,131.9963513,1.072,117.33,1.540395674,2.80168,FALSE POSITIVE
3838004,5313.0,2.095,287.55768,38.912231,13.419,131.57589,0.104,2.43,2.344138713,0.4495,FALSE POSITIVE
9595956,,,294.91272,46.264839,16.923,280.9211479,,,316.950146,5.33,FALSE POSITIVE
